FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170616;1000;87;;;
170616;1100;103;;;
170616;1200;105;;;
170616;1300;111;;;
170616;1400;87;;;
170616;1500;117;;;
170616;1600;140;;;
170616;1700;154;;;
170616;1800;191;;;
170616;1900;159;;;
170616;2000;186;;;
170616;2100;108;;;
170616;2200;137;;;
170616;2300;133;;;
170617;0000;97;;;
170617;0100;48;;;
170617;0200;42;;;
170617;0300;34;;;
170617;0400;45;;;
170617;0500;48;;;
170617;0600;40;;;
170617;0700;143;;;
170617;0800;497;;;
170617;0900;678;;;
170617;1000;374;;;
170617;1100;224;;;
170617;1200;283;;;
170617;1300;253;;;
170617;1400;174;;;
170617;1500;110;;;
170617;1600;135;;;
170617;1700;485;;;
170617;1800;575;;;
170617;1900;424;;;
170617;2000;277;;;
170617;2100;114;;;
170617;2200;105;;;
170617;2300;105;;;
170618;0000;151;;;
170618;0100;59;;;
170618;0200;43;;;
170618;0300;38;;;
170618;0400;24;;;
170618;0500;17;;;
170618;0600;18;;;
170618;0700;22;;;
170618;0800;34;;;
170618;0900;83;;;
170618;1000;61;;;
170618;1100;43;;;
170618;1200;97;;;
170618;1300;33;;;
170618;1400;30;;;
170618;1500;36;;;
170618;1600;79;;;
170618;1700;56;;;
170618;1800;36;;;
170618;1900;14;;;
170618;2000;53;;;
170618;2100;191;;;
170618;2200;163;;;
170618;2300;47;;;
170619;0000;43;;;
170619;0100;103;;;
170619;0200;115;;;
170619;0300;58;;;
170619;0400;40;;;
170619;0500;28;;;
170619;0600;52;;;
170619;0700;111;;;
170619;0800;95;;;
170619;0900;79;;;
170619;1000;63;;;
170619;1100;44;;;
170619;1200;26;;;
170619;1300;15;;;
170619;1400;26;;;
170619;1500;35;;;
170619;1600;41;;;
170619;1700;120;;;
170619;1800;194;;;
170619;1900;549;;;
170619;2000;194;;;
170619;2100;181;;;
170619;2200;116;;;
170619;2300;148;;;
170620;0000;185;;;
170620;0100;114;;;
170620;0200;92;;;
170620;0300;97;;;
170620;0400;87;;;
170620;0500;73;;;
170620;0600;99;;;
170620;0700;315;;;
170620;0800;274;;;
170620;0900;227;;;
170620;1000;341;;;
170620;1100;212;;;
170620;1200;179;;;
170620;1300;136;;;
170620;1400;78;;;
170620;1500;64;;;
170620;1600;87;;;
170620;1700;234;;;
170620;1800;339;;;
170620;1900;438;;;
170620;2000;601;;;
170620;2100;522;;;
170620;2200;321;;;
170620;2300;227;;;
170621;0000;227;;;
170621;0100;174;;;
170621;0200;71;;;
170621;0300;135;;;
170621;0400;143;;;
170621;0500;113;;;
170621;0600;173;;;
170621;0700;284;;;
170621;0800;285;;;
170621;0900;232;;;
170621;1000;346;;;
170621;1100;216;;;
170621;1200;301;;;
170621;1300;141;;;
170621;1400;132;;;
170621;1500;121;;;
170621;1600;91;;;
170621;1700;453;;;
170621;1800;390;;;
170621;1900;262;;;
170621;2000;313;;;
170621;2100;291;;;
170621;2200;318;;;
170621;2300;234;;;
170622;0000;222;;;
170622;0100;121;;;
170622;0200;86;;;
170622;0300;45;;;
170622;0400;30;;;
170622;0500;27;;;
170622;0600;32;;;
170622;0700;55;;;
170622;0800;135;;;
170622;0900;140;;;
170622;1000;150;;;
170622;1100;189;;;
170622;1200;287;;;
170622;1300;140;;;
170622;1400;255;;;
170622;1500;272;;;
170622;1600;234;;;
170622;1700;95;;;
170622;1800;89;;;
170622;1900;227;;;
170622;2000;109;;;
170622;2100;103;;;
170622;2200;101;;;
170622;2300;58;;;
170623;0000;43;;;
170623;0100;30;;;
170623;0200;18;;;
170623;0300;15;;;
170623;0400;26;;;
170623;0500;21;;;
170623;0600;36;;;
170623;0700;121;;;
170623;0800;391;;;
170623;0900;339;;;
170623;1000;208;;;
170623;1100;98;;;
170623;1200;40;;;
170623;1300;25;;;
170623;1400;30;;;
170623;1500;41;;;
170623;1600;55;;;
170623;1700;177;;;
170623;1800;452;;;
170623;1900;150;;;
170623;2000;116;;;
170623;2100;163;;;
170623;2200;261;;;
170623;2300;102;;;
170624;0000;367;;;
170624;0100;422;;;
170624;0200;208;;;
170624;0300;124;;;
170624;0400;94;;;
170624;0500;92;;;
170624;0600;91;;;
170624;0700;98;;;
170624;0800;197;;;
170624;0900;376;;;
170624;1000;81;;;
170624;1100;82;;;
170624;1200;122;;;
170624;1300;198;;;
170624;1400;108;;;
170624;1500;188;;;
170624;1600;181;;;
170624;1700;250;;;
170624;1800;126;;;
170624;1900;96;;;
170624;2000;104;;;
170624;2100;46;;;
170624;2200;62;;;
170624;2300;69;;;
170625;0000;70;;;
170625;0100;95;;;
170625;0200;60;;;
170625;0300;40;;;
170625;0400;33;;;
170625;0500;50;;;
170625;0600;32;;;
170625;0700;36;;;
170625;0800;66;;;
170625;0900;196;;;
170625;1000;257;;;
170625;1100;265;;;
170625;1200;120;;;
170625;1300;250;;;
170625;1400;327;;;
170625;1500;395;;;
170625;1600;249;;;
170625;1700;257;;;
170625;1800;246;;;
170625;1900;239;;;
170625;2000;296;;;
170625;2100;372;;;
170625;2200;330;;;
170625;2300;320;;;
170626;0000;353;;;
170626;0100;162;;;
170626;0200;239;;;
170626;0300;194;;;
170626;0400;217;;;
170626;0500;83;;;
170626;0600;63;;;
170626;0700;86;;;
170626;0800;134;;;
170626;0900;140;;;
170626;1000;167;;;
170626;1100;120;;;
170626;1200;108;;;
170626;1300;123;;;
170626;1400;120;;;
170626;1500;150;;;
170626;1600;113;;;
170626;1700;148;;;
170626;1800;163;;;
170626;1900;124;;;
170626;2000;114;;;
170626;2100;174;;;
170626;2200;152;;;
170626;2300;194;;;
170627;0000;85;;;
170627;0100;35;;;
170627;0200;44;;;
170627;0300;120;;;
170627;0400;132;;;
170627;0500;87;;;
170627;0600;41;;;
170627;0700;151;;;
170627;0800;171;;;
170627;0900;242;;;
170627;1000;92;;;
170627;1100;202;;;
170627;1200;280;;;
170627;1300;260;;;
170627;1400;374;;;
170627;1500;351;;;
170627;1600;83;;;
170627;1700;174;;;
170627;1800;270;;;
170627;1900;220;;;
170627;2000;459;;;
170627;2100;536;;;
170627;2200;265;;;
170627;2300;303;;;
170628;0000;68;;;
170628;0100;110;;;
170628;0200;19;;;
170628;0300;22;;;
170628;0400;10;;;
170628;0500;14;;;
170628;0600;15;;;
170628;0700;27;;;
170628;0800;33;;;
170628;0900;99;;;
170628;1000;37;;;
170628;1100;59;;;
170628;1200;50;;;
170628;1300;164;;;
170628;1400;76;;;
170628;1500;48;;;
170628;1600;152;;;
170628;1700;245;;;
170628;1800;174;;;
170628;1900;129;;;
170628;2000;129;;;
170628;2100;140;;;
170628;2200;137;;;
170628;2300;222;;;
170629;0000;323;;;
170629;0100;378;;;
170629;0200;76;;;
170629;0300;21;;;
170629;0400;45;;;
170629;0500;22;;;
170629;0600;49;;;
170629;0700;76;;;
170629;0800;75;;;
170629;0900;153;;;
170629;1000;184;;;
170629;1100;60;;;
170629;1200;26;;;
170629;1300;43;;;
170629;1400;49;;;
170629;1500;124;;;
170629;1600;91;;;
170629;1700;97;;;
170629;1800;102;;;
170629;1900;58;;;
170629;2000;128;;;
170629;2100;73;;;
170629;2200;84;;;
170629;2300;186;;;
170630;0000;116;;;
170630;0100;54;;;
170630;0200;41;;;
170630;0300;21;;;
170630;0400;18;;;
170630;0500;41;;;
170630;0600;112;;;
170630;0700;277;;;
170630;0800;635;;;
170630;0900;868;;;
170630;1000;303;;;
170630;1100;182;;;
170630;1200;100;;;
170630;1300;109;;;
170630;1400;208;;;
170630;1500;398;;;
170630;1600;321;;;
170630;1700;232;;;
170630;1800;224;;;
170630;1900;327;;;
170630;2000;285;;;
170630;2100;294;;;
170630;2200;238;;;
170630;2300;317;;;
170701;0000;227;;;
170701;0100;106;;;
170701;0200;107;;;
170701;0300;109;;;
170701;0400;67;;;
170701;0500;35;;;
170701;0600;21;;;
170701;0700;17;;;
170701;0800;28;;;
170701;0900;66;;;
170701;1000;66;;;
170701;1100;72;;;
170701;1200;66;;;
170701;1300;27;;;
170701;1400;39;;;
170701;1500;34;;;
170701;1600;66;;;
170701;1700;190;;;
170701;1800;262;;;
170701;1900;173;;;
170701;2000;247;;;
170701;2100;152;;;
170701;2200;293;;;
170701;2300;196;;;
170702;0000;180;;;
170702;0100;166;;;
170702;0200;130;;;
170702;0300;49;;;
170702;0400;22;;;
170702;0500;33;;;
170702;0600;40;;;
170702;0700;21;;;
170702;0800;30;;;
170702;0900;106;;;
170702;1000;30;;;
170702;1100;146;;;
170702;1200;164;;;
170702;1300;136;;;
170702;1400;174;;;
170702;1500;110;;;
170702;1600;180;;;
170702;1700;289;;;
170702;1800;404;;;
170702;1900;349;;;
170702;2000;714;;;
170702;2100;440;;;
170702;2200;689;;;
170702;2300;931;;;
170703;0000;396;;;
170703;0100;420;;;
170703;0200;144;;;
170703;0300;135;;;
170703;0400;94;;;
170703;0500;77;;;
170703;0600;94;;;
170703;0700;224;;;
170703;0800;247;;;
170703;0900;335;;;
170703;1000;304;;;
170703;1100;148;;;
170703;1200;71;;;
170703;1300;83;;;
170703;1400;68;;;
170703;1500;60;;;
170703;1600;37;;;
170703;1700;37;;;
170703;1800;29;;;
170703;1900;49;;;
170703;2000;65;;;
170703;2100;83;;;
170703;2200;84;;;
170703;2300;139;;;
170704;0000;63;;;
170704;0100;33;;;
170704;0200;7;;;
170704;0300;8;;;
170704;0400;4;;;
170704;0500;4;;;
170704;0600;30;;;
170704;0700;133;;;
170704;0800;56;;;
170704;0900;60;;;
170704;1000;36;;;
170704;1100;33;;;
170704;1200;15;;;
170704;1300;17;;;
170704;1400;19;;;
170704;1500;11;;;
170704;1600;30;;;
170704;1700;146;;;
170704;1800;424;;;
170704;1900;175;;;
170704;2000;499;;;
170704;2100;769;;;
170704;2200;373;;;
170704;2300;517;;;
170705;0000;581;;;
170705;0100;160;;;
170705;0200;205;;;
170705;0300;173;;;
170705;0400;60;;;
170705;0500;99;;;
170705;0600;82;;;
170705;0700;261;;;
170705;0800;387;;;
170705;0900;215;;;
170705;1000;171;;;
170705;1100;195;;;
170705;1200;224;;;
170705;1300;239;;;
170705;1400;127;;;
170705;1500;90;;;
170705;1600;190;;;
170705;1700;357;;;
170705;1800;255;;;
170705;1900;91;;;
170705;2000;31;;;
170705;2100;45;;;
170705;2200;46;;;
170705;2300;27;;;
170706;0000;14;;;
170706;0100;17;;;
170706;0200;11;;;
170706;0300;8;;;
170706;0400;8;;;
170706;0500;6;;;
170706;0600;12;;;
170706;0700;26;;;
170706;0800;55;;;
170706;0900;53;;;
170706;1000;38;;;
170706;1100;22;;;
170706;1200;19;;;
170706;1300;;;;
170706;1400;23;;;
170706;1500;26;;;
170706;1600;34;;;
170706;1700;41;;;
170706;1800;56;;;
170706;1900;86;;;
170706;2000;102;;;
170706;2100;64;;;
170706;2200;112;;;
170706;2300;67;;;
170707;0000;38;;;
170707;0100;23;;;
170707;0200;75;;;
170707;0300;31;;;
170707;0400;57;;;
170707;0500;101;;;
170707;0600;56;;;
170707;0700;113;;;
170707;0800;95;;;
170707;0900;38;;;
170707;1000;27;;;
170707;1100;17;;;
170707;1200;21;;;
170707;1300;14;;;
170707;1400;18;;;
170707;1500;25;;;
170707;1600;44;;;
170707;1700;86;;;
170707;1800;83;;;
170707;1900;430;;;
170707;2000;222;;;
170707;2100;197;;;
170707;2200;529;;;
170707;2300;529;;;
170708;0000;250;;;
170708;0100;253;;;
170708;0200;295;;;
170708;0300;107;;;
170708;0400;82;;;
170708;0500;56;;;
170708;0600;52;;;
170708;0700;72;;;
170708;0800;132;;;
170708;0900;215;;;
170708;1000;464;;;
170708;1100;231;;;
170708;1200;64;;;
170708;1300;99;;;
170708;1400;60;;;
170708;1500;;;1;
170708;1600;;;;
170708;1700;90;;;
170708;1800;55;;;
170708;1900;170;;;
170708;2000;365;;;
170708;2100;335;;;
170708;2200;80;;;
170708;2300;33;;;
170709;0000;32;;;
170709;0100;48;;;
170709;0200;45;;;
170709;0300;128;;;
170709;0400;22;;;
170709;0500;10;;;
170709;0600;9;;;
170709;0700;10;;;
170709;0800;11;;;
170709;0900;20;;;
170709;1000;32;;;
170709;1100;43;;;
170709;1200;26;;;
170709;1300;36;;;
170709;1400;64;;;
170709;1500;25;;;
170709;1600;43;;;
170709;1700;78;;;
170709;1800;106;;;
170709;1900;56;;;
170709;2000;94;;;
170709;2100;45;;;
170709;2200;47;;;
170709;2300;35;;;
170710;0000;79;;;
170710;0100;70;;;
170710;0200;11;;;
170710;0300;8;;;
170710;0400;5;;;
170710;0500;10;;;
170710;0600;17;;;
170710;0700;18;;;
170710;0800;43;;;
170710;0900;47;;;
170710;1000;34;;;
170710;1100;30;;;
170710;1200;15;;;
170710;1300;23;;;
170710;1400;31;;;
170710;1500;33;;;
170710;1600;43;;;
170710;1700;45;;;
170710;1800;100;;;
170710;1900;98;;;
170710;2000;40;;;
170710;2100;45;;;
170710;2200;97;;;
170710;2300;101;;;
170711;0000;60;;;
170711;0100;52;;;
170711;0200;44;;;
170711;0300;12;;;
170711;0400;20;;;
170711;0500;39;;;
170711;0600;22;;;
170711;0700;21;;;
170711;0800;33;;;
170711;0900;36;;;
170711;1000;36;;;
170711;1100;24;;;
170711;1200;30;;;
170711;1300;18;;;
170711;1400;44;;;
170711;1500;40;;;
170711;1600;53;;;
170711;1700;117;;;
170711;1800;190;;;
170711;1900;71;;;
170711;2000;86;;;
170711;2100;49;;;
170711;2200;89;;;
170711;2300;59;;;
170712;0000;27;;;
170712;0100;60;;;
170712;0200;36;;;
170712;0300;14;;;
170712;0400;28;;;
170712;0500;72;;;
170712;0600;24;;;
170712;0700;52;;;
170712;0800;117;;;
170712;0900;113;;;
170712;1000;86;;;
170712;1100;146;;;
170712;1200;102;;;
170712;1300;103;;;
170712;1400;78;;;
170712;1500;78;;;
170712;1600;86;;;
170712;1700;178;;;
170712;1800;186;;;
170712;1900;160;;;
170712;2000;185;;;
170712;2100;177;;;
170712;2200;132;;;
170712;2300;67;;;
170713;0000;15;;;
170713;0100;29;;;
170713;0200;47;;;
170713;0300;34;;;
170713;0400;21;;;
170713;0500;5;;;
170713;0600;10;;;
170713;0700;62;;;
170713;0800;208;;;
170713;0900;218;;;
170713;1000;140;;;
170713;1100;45;;;
170713;1200;116;;;
170713;1300;47;;;
170713;1400;29;;;
170713;1500;73;;;
170713;1600;89;;;
170713;1700;71;;;
170713;1800;70;;;
170713;1900;66;;;
170713;2000;69;;;
170713;2100;69;;;
170713;2200;59;;;
170713;2300;37;;;
170714;0000;34;;;
170714;0100;96;;;
170714;0200;87;;;
170714;0300;84;;;
170714;0400;28;;;
170714;0500;52;;;
170714;0600;32;;;
170714;0700;103;;;
170714;0800;170;;;
170714;0900;93;;;
170714;1000;57;;;
170714;1100;36;;;
170714;1200;58;;;
170714;1300;40;;;
170714;1400;49;;;
170714;1500;46;;;
170714;1600;53;;;
170714;1700;254;;;
170714;1800;411;;;
170714;1900;456;;;
170714;2000;757;;;
170714;2100;658;;;
170714;2200;814;;;
170714;2300;619;;;
170715;0000;393;;;
170715;0100;380;;;
170715;0200;549;;;
170715;0300;605;;;
170715;0400;368;;;
170715;0500;425;;;
170715;0600;263;;;
170715;0700;282;;;
170715;0800;293;;;
170715;0900;463;;;
170715;1000;339;;;
170715;1100;219;;;
170715;1200;105;;;
170715;1300;81;;;
170715;1400;156;;;
170715;1500;156;;;
170715;1600;208;;;
170715;1700;101;;;
170715;1800;121;;;
170715;1900;147;;;
170715;2000;143;;;
170715;2100;215;;;
170715;2200;125;;;
170715;2300;136;;;
170716;0000;60;;;
170716;0100;359;;;
170716;0200;57;;;
170716;0300;40;;;
170716;0400;17;;;
170716;0500;10;;;
170716;0600;10;;;
170716;0700;17;;;
170716;0800;27;;;
170716;0900;48;;;
170716;1000;34;;;
170716;1100;53;;;
170716;1200;55;;;
170716;1300;43;;;
170716;1400;48;;;
170716;1500;37;;;
170716;1600;59;;;
170716;1700;118;;;
170716;1800;75;;;
170716;1900;53;;;
170716;2000;93;;;
170716;2100;51;;;
170716;2200;71;;;
170716;2300;49;;;
170717;0000;143;;;
170717;0100;73;;;
170717;0200;26;;;
170717;0300;31;;;
170717;0400;4;;;
170717;0500;9;;;
170717;0600;83;;;
170717;0700;34;;;
170717;0800;47;;;
170717;0900;93;;;
170717;1000;70;;;
170717;1100;38;;;
170717;1200;39;;;
170717;1300;47;;;
170717;1400;18;;;
170717;1500;24;;;
170717;1600;30;;;
170717;1700;33;;;
170717;1800;45;;;
170717;1900;40;;;
170717;2000;35;;;
170717;2100;35;;;
170717;2200;21;;;
170717;2300;24;;;
170718;0000;14;;;
170718;0100;9;;;
170718;0200;7;;;
170718;0300;5;;;
170718;0400;6;;;
170718;0500;5;;;
170718;0600;5;;;
170718;0700;2;;;
170718;0800;18;;;
170718;0900;25;;;
170718;1000;28;;;
170718;1100;25;;;
170718;1200;18;;;
170718;1300;14;;;
170718;1400;21;;;
170718;1500;26;;;
170718;1600;24;;;
170718;1700;38;;;
170718;1800;41;;;
170718;1900;47;;;
170718;2000;31;;;
170718;2100;40;;;
170718;2200;49;;;
170718;2300;34;;;
170719;0000;41;;;
170719;0100;105;;;
170719;0200;48;;;
170719;0300;30;;;
170719;0400;17;;;
170719;0500;13;;;
170719;0600;20;;;
170719;0700;58;;;
170719;0800;82;;;
170719;0900;142;;;
170719;1000;84;;;
170719;1100;33;;;
170719;1200;30;;;
170719;1300;27;;;
170719;1400;26;;;
170719;1500;21;;;
170719;1600;23;;;
170719;1700;29;;;
170719;1800;56;;;
170719;1900;76;;;
170719;2000;77;;;
170719;2100;68;;;
170719;2200;66;;;
170719;2300;44;;;
170720;0000;43;;;
170720;0100;34;;;
170720;0200;18;;;
170720;0300;11;;;
170720;0400;9;;;
170720;0500;12;;;
170720;0600;21;;;
170720;0700;21;;;
170720;0800;75;;;
170720;0900;41;;;
170720;1000;20;;;
170720;1100;22;;;
170720;1200;25;;;
170720;1300;20;;;
170720;1400;21;;;
170720;1500;19;;;
170720;1600;28;;;
170720;1700;54;;;
170720;1800;126;;;
170720;1900;288;;;
170720;2000;378;;;
170720;2100;192;;;
170720;2200;180;;;
170720;2300;110;;;
170721;0000;101;;;
170721;0100;99;;;
170721;0200;116;;;
170721;0300;87;;;
170721;0400;103;;;
170721;0500;135;;;
170721;0600;76;;;
170721;0700;113;;;
170721;0800;78;;;
170721;0900;45;;;
170721;1000;56;;;
170721;1100;106;;;
170721;1200;104;;;
170721;1300;45;;;
170721;1400;65;;;
170721;1500;85;;;
170721;1600;105;;;
170721;1700;155;;;
170721;1800;71;;;
170721;1900;103;;;
170721;2000;71;;;
170721;2100;56;;;
170721;2200;68;;;
170721;2300;36;;;
170722;0000;88;;;
170722;0100;32;;;
170722;0200;10;;;
170722;0300;9;;;
170722;0400;36;;;
170722;0500;26;;;
170722;0600;59;;;
170722;0700;15;;;
170722;0800;18;;;
170722;0900;75;;;
170722;1000;135;;;
170722;1100;117;;;
170722;1200;157;;;
170722;1300;123;;;
170722;1400;156;;;
170722;1500;114;;;
170722;1600;90;;;
170722;1700;187;;;
170722;1800;224;;;
170722;1900;175;;;
170722;2000;101;;;
170722;2100;81;;;
170722;2200;68;;;
170722;2300;130;;;
170723;0000;81;;;
170723;0100;25;;;
170723;0200;9;;;
170723;0300;9;;;
170723;0400;4;;;
170723;0500;9;;;
170723;0600;7;;;
170723;0700;4;;;
170723;0800;9;;;
170723;0900;36;;;
170723;1000;17;;;
170723;1100;24;;;
170723;1200;18;;;
170723;1300;8;;;
170723;1400;11;;;
170723;1500;17;;;
170723;1600;25;;;
170723;1700;102;;;
170723;1800;59;;;
170723;1900;56;;;
170723;2000;102;;;
170723;2100;89;;;
170723;2200;62;;;
170723;2300;135;;;
170724;0000;217;;;
170724;0100;60;;;
170724;0200;10;;;
170724;0300;15;;;
170724;0400;5;;;
170724;0500;3;;;
170724;0600;6;;;
170724;0700;30;;;
170724;0800;17;;;
170724;0900;62;;;
170724;1000;39;;;
170724;1100;25;;;
170724;1200;34;;;
170724;1300;17;;;
170724;1400;13;;;
170724;1500;23;;;
170724;1600;27;;;
170724;1700;34;;;
170724;1800;26;;;
170724;1900;36;;;
170724;2000;45;;;
170724;2100;21;;;
170724;2200;22;;;
170724;2300;14;;;
170725;0000;11;;;
170725;0100;9;;;
170725;0200;3;;;
170725;0300;5;;;
170725;0400;7;;;
170725;0500;7;;;
170725;0600;7;;;
170725;0700;13;;;
170725;0800;50;;;
170725;0900;52;;;
170725;1000;31;;;
170725;1100;41;;;
170725;1200;18;;;
170725;1300;13;;;
170725;1400;10;;;
170725;1500;28;;;
170725;1600;26;;;
170725;1700;40;;;
170725;1800;75;;;
170725;1900;63;;;
170725;2000;63;;;
170725;2100;56;;;
170725;2200;76;;;
170725;2300;226;;;
170726;0000;103;;;
170726;0100;151;;;
170726;0200;66;;;
170726;0300;53;;;
170726;0400;30;;;
170726;0500;48;;;
170726;0600;44;;;
170726;0700;50;;;
170726;0800;;;1;
170726;0900;;;;
170726;1000;93;;;
170726;1100;71;;;
170726;1200;78;;;
170726;1300;124;;;
170726;1400;64;;;
170726;1500;74;;;
170726;1600;119;;;
170726;1700;170;;;
170726;1800;135;;;
170726;1900;144;;;
170726;2000;181;;;
170726;2100;108;;;
170726;2200;92;;;
170726;2300;66;;;
170727;0000;73;;;
170727;0100;72;;;
170727;0200;66;;;
170727;0300;50;;;
170727;0400;39;;;
170727;0500;41;;;
170727;0600;49;;;
170727;0700;24;;;
170727;0800;35;;;
170727;0900;51;;;
170727;1000;118;;;
170727;1100;92;;;
170727;1200;46;;;
170727;1300;52;;;
170727;1400;43;;;
170727;1500;94;;;
170727;1600;91;;;
170727;1700;162;;;
170727;1800;88;;;
170727;1900;109;;;
170727;2000;97;;;
170727;2100;32;;;
170727;2200;62;;;
170727;2300;94;;;
170728;0000;81;;;
170728;0100;85;;;
170728;0200;89;;;
170728;0300;53;;;
170728;0400;10;;;
170728;0500;9;;;
170728;0600;9;;;
170728;0700;32;;;
170728;0800;64;;;
170728;0900;39;;;
170728;1000;40;;;
170728;1100;22;;;
170728;1200;22;;;
170728;1300;15;;;
170728;1400;18;;;
170728;1500;28;;;
170728;1600;47;;;
170728;1700;52;;;
170728;1800;54;;;
170728;1900;38;;;
170728;2000;69;;;
170728;2100;37;;;
170728;2200;76;;;
170728;2300;117;;;
170729;0000;45;;;
170729;0100;132;;;
170729;0200;117;;;
170729;0300;180;;;
170729;0400;35;;;
170729;0500;44;;;
170729;0600;96;;;
170729;0700;78;;;
170729;0800;102;;;
170729;0900;25;;;
170729;1000;35;;;
170729;1100;23;;;
170729;1200;22;;;
170729;1300;15;;;
170729;1400;11;;;
170729;1500;17;;;
170729;1600;23;;;
170729;1700;28;;;
170729;1800;63;;;
170729;1900;187;;;
170729;2000;162;;;
170729;2100;80;;;
170729;2200;147;;;
170729;2300;110;;;
170730;0000;189;;;
170730;0100;124;;;
170730;0200;128;;;
170730;0300;143;;;
170730;0400;140;;;
170730;0500;134;;;
170730;0600;54;;;
170730;0700;40;;;
170730;0800;86;;;
170730;0900;64;;;
170730;1000;48;;;
170730;1100;60;;;
170730;1200;17;;;
170730;1300;15;;;
170730;1400;41;;;
170730;1500;48;;;
170730;1600;52;;;
170730;1700;112;;;
170730;1800;323;;;
170730;1900;293;;;
170730;2000;148;;;
170730;2100;251;;;
170730;2200;282;;;
170730;2300;140;;;
170731;0000;101;;;
170731;0100;60;;;
170731;0200;37;;;
170731;0300;56;;;
170731;0400;48;;;
170731;0500;53;;;
170731;0600;34;;;
170731;0700;29;;;
170731;0800;42;;;
170731;0900;58;;;
170731;1000;37;;;
170731;1100;15;;;
170731;1200;20;;;
170731;1300;22;;;
170731;1400;33;;;
170731;1500;22;;;
170731;1600;23;;;
170731;1700;30;;;
170731;1800;50;;;
170731;1900;64;;;
170731;2000;153;;;
170731;2100;38;;;
170731;2200;40;;;
170731;2300;48;;;
170801;0000;40;;;
170801;0100;28;;;
170801;0200;47;;;
170801;0300;9;;;
170801;0400;6;;;
170801;0500;3;;;
170801;0600;3;;;
170801;0700;13;;;
170801;0800;23;;;
170801;0900;24;;;
170801;1000;18;;;
170801;1100;10;;;
170801;1200;9;;;
170801;1300;15;;;
170801;1400;18;;;
170801;1500;14;;;
170801;1600;20;;;
170801;1700;25;;;
170801;1800;35;;;
170801;1900;63;;;
170801;2000;58;;;
170801;2100;42;;;
170801;2200;32;;;
170801;2300;18;;;
170802;0000;11;;;
170802;0100;8;;;
170802;0200;9;;;
170802;0300;5;;;
170802;0400;5;;;
170802;0500;2;;;
170802;0600;2;;;
170802;0700;11;;;
170802;0800;21;;;
170802;0900;20;;;
170802;1000;13;;;
170802;1100;13;;;
170802;1200;10;;;
170802;1300;13;;;
170802;1400;12;;;
170802;1500;14;;;
170802;1600;23;;;
170802;1700;14;;;
170802;1800;37;;;
170802;1900;33;;;
170802;2000;40;;;
170802;2100;32;;;
170802;2200;37;;;
170802;2300;17;;;
170803;0000;20;;;
170803;0100;12;;;
170803;0200;9;;;
170803;0300;6;;;
170803;0400;3;;;
170803;0500;3;;;
170803;0600;8;;;
170803;0700;14;;;
170803;0800;14;;;
170803;0900;18;;;
170803;1000;22;;;
170803;1100;15;;;
170803;1200;9;;;
170803;1300;24;;;
170803;1400;14;;;
170803;1500;22;;;
170803;1600;;;;
170803;1700;55;;;
170803;1800;132;;;
170803;1900;175;;;
170803;2000;109;;;
170803;2100;38;;;
170803;2200;99;;;
170803;2300;59;;;
170804;0000;212;;;
170804;0100;94;;;
170804;0200;25;;;
170804;0300;8;;;
170804;0400;8;;;
170804;0500;6;;;
170804;0600;8;;;
170804;0700;20;;;
170804;0800;52;;;
170804;0900;60;;;
170804;1000;64;;;
170804;1100;31;;;
170804;1200;28;;;
170804;1300;20;;;
170804;1400;25;;;
170804;1500;32;;;
170804;1600;60;;;
170804;1700;118;;;
170804;1800;136;;;
170804;1900;256;;;
170804;2000;306;;;
170804;2100;369;;;
170804;2200;237;;;
170804;2300;139;;;
170805;0000;109;;;
170805;0100;115;;;
170805;0200;33;;;
170805;0300;45;;;
170805;0400;90;;;
170805;0500;70;;;
170805;0600;63;;;
170805;0700;89;;;
170805;0800;188;;;
170805;0900;107;;;
170805;1000;139;;;
170805;1100;53;;;
170805;1200;35;;;
170805;1300;30;;;
170805;1400;52;;;
170805;1500;57;;;
170805;1600;120;;;
170805;1700;178;;;
170805;1800;174;;;
170805;1900;258;;;
170805;2000;162;;;
170805;2100;201;;;
170805;2200;265;;;
170805;2300;227;;;
170806;0000;345;;;
170806;0100;170;;;
170806;0200;174;;;
170806;0300;160;;;
170806;0400;102;;;
170806;0500;81;;;
170806;0600;72;;;
170806;0700;58;;;
170806;0800;87;;;
170806;0900;154;;;
170806;1000;89;;;
170806;1100;45;;;
170806;1200;29;;;
170806;1300;28;;;
170806;1400;40;;;
170806;1500;23;;;
170806;1600;21;;;
170806;1700;52;;;
170806;1800;44;;;
170806;1900;103;;;
170806;2000;60;;;
170806;2100;39;;;
170806;2200;42;;;
170806;2300;25;;;
170807;0000;25;;;
170807;0100;28;;;
170807;0200;44;;;
170807;0300;39;;;
170807;0400;25;;;
170807;0500;28;;;
170807;0600;44;;;
170807;0700;113;;;
170807;0800;154;;;
170807;0900;96;;;
170807;1000;21;;;
170807;1100;17;;;
170807;1200;13;;;
170807;1300;11;;;
170807;1400;11;;;
170807;1500;18;;;
170807;1600;26;;;
170807;1700;48;;;
170807;1800;117;;;
170807;1900;224;;;
170807;2000;175;;;
170807;2100;234;;;
170807;2200;201;;;
170807;2300;94;;;
170808;0000;60;;;
170808;0100;69;;;
170808;0200;97;;;
170808;0300;110;;;
170808;0400;99;;;
170808;0500;105;;;
170808;0600;88;;;
